ax,ay,az
-0.00415039,1.01025,0.0820312
0.00561523,1.01025,0.0820312
0.00585938,0.994629,0.0791016
0.00585938,0.994629,0.0795898
0.0112305,1.00513,0.0795898
0.0151367,1.00757,0.0810547
0.0151367,1.00757,0.0737305
0.0195312,1.01367,0.0737305
0.0185547,1.01172,0.0795898
0.0185547,1.01172,0.081543
0.0224609,1.00732,0.081543
0.0187988,1.01392,0.0830078
0.0187988,1.01392,0.0844727
0.0200195,1.01416,0.0844727
0.0144043,1.00903,0.0808105
0.0144043,1.00903,0.0808105
0.00683594,1.00806,0.0830078
0.00683594,1.00195,0.0791016
0.00170898,1.00195,0.0791016
-0.00170898,1.01294,0.0700684
-0.00170898,0.996338,0.0839844
-0.00170898,0.996338,0.0839844
-0.00610352,1.00659,0.0783691
-0.00610352,1.00122,0.0778809
0.00537109,1.00122,0.0778809
0.0134277,1.00977,0.0791016
0.0134277,1.00879,0.0761719
0.0151367,1.00879,0.0761719
0.0197754,1.01099,0.0791016
0.0197754,1.01099,0.0795898
0.0256348,1.01294,0.0795898
0.0224609,1.01733,0.0820312
0.0224609,1.01733,0.0881348
0.0185547,1.01245,0.0881348
0.0119629,1.00977,0.0766602
0.0119629,1.00977,0.0871582
0.0151367,0.999756,0.0871582
0.00732422,1.00952,0.0852051
0.00732422,1.00952,0.0810547
0.00634766,0.999023,0.0810547
0.0205078,1.01074,0.0827637
0.0205078,1.01074,0.0822754
0.0107422,1.00928,0.0822754
0.00830078,1.00098,0.079834
0.00830078,1.00098,0.079834
0.0124512,1.00952,0.0793457
0.0124512,1.00464,0.0864258
0.00439453,1.00464,0.0864258
0,1.01025,0.0810547
0,1.00562,0.0778809
-0.00366211,1.00562,0.0778809
-0.00146484,1.01099,0.0791016
-0.00146484,1.00537,0.0915527
-0.00463867,1.00537,0.0915527
-0.00244141,1.00586,0.076416
-0.00244141,1.00586,0.078125
0.00537109,1.00708,0.078125
0.00952148,1.00732,0.0837402
0.00952148,1.00732,0.0783691
0.0158691,1.01392,0.0783691
0.0178223,1.0022,0.0859375
0.0178223,1.0022,0.0737305
0.0126953,1.01147,0.0737305
0.0114746,1.00781,0.0808105
0.0114746,1.00781,0.0812988
0.00756836,1.01514,0.0812988
0.0078125,1.00171,0.0827637
0.0078125,1.00171,0.0827637
-0.00415039,1.0061,0.078125
-0.00415039,1.00293,0.0825195
-0.00146484,1.00293,0.0825195
-0.00415039,1.00391,0.0834961
-0.00415039,1.00391,0.0856934
-0.00292969,1.00391,0.0856934
0.00146484,1.00366,0.0812988
0.00146484,1.01147,0.0808105
0.00292969,1.01147,0.0808105
0.00878906,0.999512,0.0866699
0.00878906,0.95166,0.0744629
0.00048828,1.01416,0.0744629
-0.00390625,1.00366,0.0839844
-0.00390625,1.00366,0.0717773
0.00854492,1.00781,0.0717773
0.00927734,1.00928,0.0778809
0.00927734,1.00928,0.0861816
0.00512695,1.00122,0.0861816
0.013916,1.01416,0.0739746
0.013916,1.01416,0.0822754
0.0205078,1.01636,0.0822754
0.015625,1.01001,0.0808105
0.015625,1.01001,0.0847168
0.0219727,1.00171,0.0847168
0.0168457,1.00684,0.0795898
0.0168457,1.00684,0.0795898
0.019043,1.01221,0.0830078
0.019043,1.0083,0.0817871
0.0102539,1.0083,0.0817871
0.00585938,1.01245,0.0805664
0.00585938,1.00928,0.0788574
0.00170898,1.00928,0.0788574
-0.00219727,1.00806,0.0754395
-0.00219727,1.00195,0.0847168
-0.00415039,1.00195,0.0847168
-0.00463867,1.00317,0.0727539
-0.00463867,1.00928,0.0761719
0.00463867,1.00928,0.0761719
0.00439453,1.00415,0.0830078
