fx,fy,fz,tx,ty,tz
18.1642,-1.05488,10.1516,0.43358,-0.292017,-0.150933
18.165,-1.03477,10.1506,0.43316,-0.292433,-0.151466
18.1398,-1.02936,10.1816,0.433045,-0.292263,-0.151143
18.124,-1.02774,10.1968,0.432209,-0.293083,-0.15112
18.1434,-1.02678,10.1971,0.433515,-0.292567,-0.151
18.1908,-1.04273,10.2266,0.432599,-0.290944,-0.151263
18.1974,-1.03179,10.2494,0.433824,-0.288386,-0.151221
18.2165,-1.032,10.1873,0.432023,-0.288345,-0.151704
18.2045,-1.06609,10.2348,0.43494,-0.288561,-0.151112
18.2018,-1.06216,10.1961,0.433884,-0.289413,-0.151425
18.1896,-1.04173,10.2346,0.433716,-0.29183,-0.151259
18.1677,-1.06687,10.2054,0.434321,-0.292554,-0.150749
18.1651,-1.04488,10.2196,0.43305,-0.292415,-0.151127
18.1999,-1.01898,10.1883,0.431767,-0.290445,-0.151177
18.1774,-1.02971,10.1732,0.433206,-0.291065,-0.151441
18.1871,-1.02011,10.166,0.431768,-0.291053,-0.150931
18.1609,-1.04821,10.1895,0.43279,-0.29147,-0.150885
18.1763,-1.04568,10.1588,0.433893,-0.290021,-0.151051
18.1776,-1.03565,10.1968,0.432698,-0.290291,-0.150882
18.1388,-1.07733,10.1589,0.434225,-0.292957,-0.151437
18.1283,-1.04976,10.1435,0.432149,-0.292978,-0.151182
18.144,-1.02509,10.1508,0.433307,-0.293719,-0.151457
18.1429,-1.06026,10.1895,0.434211,-0.293156,-0.151276
18.1785,-1.03429,10.1885,0.432272,-0.291315,-0.151297
18.1918,-1.00409,10.2181,0.431741,-0.290495,-0.151533
18.2404,-1.04382,10.1878,0.432949,-0.287481,-0.151454
18.248,-1.04069,10.2104,0.433639,-0.286441,-0.151558
18.2296,-0.999781,10.1948,0.431516,-0.289049,-0.151582
18.1672,-1.05904,10.2043,0.434853,-0.291044,-0.151396
18.1683,-1.03839,10.2056,0.433343,-0.291831,-0.150348
18.1021,-1.02385,10.205,0.432949,-0.293722,-0.150963
18.0647,-1.06662,10.1526,0.432698,-0.29537,-0.150738
18.1069,-1.02551,10.227,0.432925,-0.294536,-0.151478
18.1745,-1.02216,10.2346,0.431992,-0.291279,-0.150978
18.212,-1.00043,10.2566,0.431983,-0.288332,-0.151095
18.2169,-1.03134,10.2266,0.431379,-0.288976,-0.150876
18.2332,-1.0187,10.271,0.432174,-0.288053,-0.151625
18.2104,-1.04256,10.2954,0.433686,-0.290045,-0.151064
18.2076,-1.03814,10.3102,0.432202,-0.287592,-0.151027
18.195,-1.03341,10.3176,0.432498,-0.2891,-0.151283
18.2142,-1.05682,10.3255,0.434172,-0.288677,-0.151287
18.2075,-1.02261,10.333,0.432394,-0.288374,-0.151008
18.2126,-0.995824,10.3249,0.431608,-0.288339,-0.151153
18.2114,-1.05862,10.3251,0.433053,-0.289011,-0.151421
18.1927,-1.00221,10.3243,0.430897,-0.288466,-0.151534
18.1918,-1.01552,10.3246,0.431839,-0.289587,-0.151541
18.2138,-1.04812,10.3485,0.434281,-0.287925,-0.151123
18.1926,-1.02513,10.3325,0.431064,-0.289702,-0.151271
18.1941,-1.04361,10.3558,0.433483,-0.288955,-0.15137
18.2056,-1.04555,10.3482,0.434544,-0.289736,-0.151526
18.1916,-1.027,10.3103,0.431479,-0.28817,-0.150886
18.1946,-1.01313,10.3028,0.432743,-0.289633,-0.151039
18.1864,-1.04052,10.3559,0.433093,-0.291147,-0.151382
18.1801,-1.00713,10.3404,0.43086,-0.290083,-0.151122
18.211,-1.02592,10.3177,0.433006,-0.287784,-0.151154
18.2234,-1.04153,10.3101,0.433461,-0.28931,-0.151318
18.2046,-1.01605,10.3327,0.431155,-0.287575,-0.151
18.2313,-1.04196,10.3259,0.433669,-0.289278,-0.150912
18.2268,-1.05081,10.3177,0.434005,-0.287948,-0.151301
18.2039,-1.04406,10.302,0.432134,-0.288554,-0.151437
18.2068,-1.04631,10.3256,0.433209,-0.288975,-0.151152
18.2014,-1.07349,10.3109,0.434207,-0.288628,-0.151028
18.2118,-1.01525,10.2796,0.432248,-0.28831,-0.15107
18.2028,-1.04678,10.2645,0.4332,-0.290197,-0.151357
18.2019,-1.05268,10.2654,0.433571,-0.289421,-0.150821
18.1789,-1.01191,10.2341,0.431667,-0.289821,-0.151103
18.1934,-1.05743,10.2346,0.433739,-0.289189,-0.151109
18.1763,-1.0484,10.2049,0.43409,-0.29192,-0.150884
18.166,-1.04615,10.1959,0.432367,-0.291277,-0.151541
18.1764,-1.05427,10.1734,0.434232,-0.291029,-0.151571
18.1895,-1.05716,10.1894,0.433523,-0.291045,-0.150906
18.1741,-1.02677,10.1357,0.432141,-0.291147,-0.150953
18.1649,-1.02925,10.1897,0.433015,-0.293069,-0.150768
18.1442,-1.04001,10.1356,0.433124,-0.293445,-0.151472
18.161,-1.01908,10.1435,0.432473,-0.291132,-0.150932
18.1645,-1.06933,10.1358,0.433622,-0.292128,-0.151348
18.1378,-1.06426,10.1512,0.434822,-0.291703,-0.151433
18.1641,-1.05299,10.1213,0.43382,-0.293418,-0.150977
18.1761,-1.05442,10.1359,0.434225,-0.290772,-0.151214
18.1563,-1.04431,10.1277,0.433493,-0.29232,-0.151614
18.1678,-1.05697,10.1515,0.43421,-0.292445,-0.151071
18.1642,-1.04988,10.1285,0.433636,-0.292026,-0.15109
18.1451,-1.02788,10.1809,0.432174,-0.291559,-0.151408
18.1655,-1.03543,10.1668,0.432275,-0.291919,-0.150654
18.1718,-1.04628,10.1506,0.434551,-0.29137,-0.151594
18.1506,-0.986832,10.1736,0.43046,-0.291158,-0.150759
18.1655,-1.02193,10.2118,0.432443,-0.291177,-0.150993
18.1598,-1.07087,10.1892,0.434279,-0.292962,-0.151423
18.1453,-1.01447,10.2194,0.431681,-0.290685,-0.150963
18.153,-1.0325,10.1806,0.432767,-0.292034,-0.151683
18.1889,-1.05862,10.2499,0.434174,-0.290153,-0.151227
18.1585,-1.03003,10.211,0.431694,-0.292217,-0.151525
18.1625,-1.00939,10.2489,0.431723,-0.291405,-0.15148
18.1849,-1.0416,10.2957,0.433953,-0.290124,-0.151041
18.1614,-1.01601,10.2956,0.432313,-0.290244,-0.15089
18.1747,-1.01377,10.295,0.431881,-0.290402,-0.151169
18.2311,-1.02967,10.3257,0.433595,-0.28739,-0.150896
18.2214,-1.01998,10.3247,0.431525,-0.288789,-0.151298
18.2116,-1.03506,10.3556,0.432681,-0.288408,-0.151251
18.2116,-1.04426,10.3326,0.432787,-0.288778,-0.151411
18.1957,-1.03001,10.34,0.43188,-0.287964,-0.151383
18.1823,-1.02043,10.348,0.432677,-0.289475,-0.151373
18.2156,-1.00895,10.34,0.432768,-0.28786,-0.151398
18.1931,-1.011,10.3552,0.430576,-0.289341,-0.151244
18.1994,-1.02194,10.363,0.432417,-0.288785,-0.151367
18.2209,-1.02012,10.3477,0.431968,-0.288786,-0.151272
18.2489,-1.01082,10.3855,0.433147,-0.287495,-0.151375
18.2409,-1.05447,10.3406,0.432624,-0.287334,-0.151022
18.2452,-1.05247,10.3465,0.433081,-0.28714,-0.152073
18.2267,-1.06025,10.3399,0.434554,-0.288318,-0.151807
18.1986,-1.03226,10.3636,0.432955,-0.288385,-0.151098
18.1669,-1.03233,10.2865,0.431885,-0.290917,-0.151835
18.1529,-1.03879,10.3027,0.432931,-0.291385,-0.151411
18.1869,-1.03274,10.3176,0.432298,-0.289382,-0.151278
18.1877,-1.00343,10.3097,0.431548,-0.289299,-0.151287
18.2155,-1.06082,10.2869,0.433235,-0.289187,-0.1516
18.2354,-1.04668,10.2792,0.433816,-0.287422,-0.151479
18.2415,-1.03319,10.2945,0.432213,-0.288511,-0.151215
18.2006,-1.06314,10.3189,0.434775,-0.289147,-0.15089
18.2065,-1.04324,10.2801,0.433682,-0.291265,-0.15122
18.1646,-1.05076,10.2498,0.433643,-0.291771,-0.151351
18.1857,-1.05972,10.2643,0.433727,-0.291123,-0.151745
18.1979,-1.03521,10.2796,0.433788,-0.289653,-0.151463
18.1982,-1.0456,10.2412,0.433435,-0.289007,-0.151632
18.2007,-1.07606,10.2504,0.434829,-0.290275,-0.150974
18.194,-1.03255,10.2569,0.433382,-0.289608,-0.151352
18.1901,-1.06272,10.2646,0.433465,-0.290787,-0.151482
18.1726,-1.06482,10.2423,0.434123,-0.292486,-0.151372
18.1356,-1.0557,10.2424,0.433403,-0.292811,-0.151342
18.1562,-1.04092,10.2723,0.433777,-0.291685,-0.151581
18.161,-1.03014,10.3028,0.433024,-0.290733,-0.151281
18.2154,-1.04111,10.2643,0.43303,-0.289213,-0.151361
18.209,-1.01321,10.3018,0.431178,-0.287887,-0.151305
18.2674,-1.04546,10.3168,0.431592,-0.287274,-0.151337
18.2434,-1.03753,10.3404,0.434146,-0.287404,-0.151287
18.238,-1.0472,10.325,0.431392,-0.287045,-0.151035
18.2174,-1.07985,10.3035,0.434767,-0.287928,-0.150912
18.1972,-1.06631,10.295,0.434295,-0.288338,-0.151435
18.1528,-1.0283,10.2572,0.432831,-0.291781,-0.151333
18.1564,-1.0402,10.2265,0.433558,-0.292069,-0.151635
18.0958,-1.00872,10.2421,0.431384,-0.293905,-0.151316
18.1139,-0.9907,10.249,0.430256,-0.29312,-0.151451
18.1862,-1.02052,10.2336,0.433094,-0.291053,-0.151646
18.2099,-0.993108,10.2403,0.430309,-0.288048,-0.151507
18.2317,-1.03277,10.2567,0.433327,-0.288535,-0.151246
18.2498,-1.04355,10.2404,0.432507,-0.288094,-0.151806
18.1993,-1.0165,10.2485,0.432465,-0.288797,-0.151624
18.2073,-1.04463,10.2493,0.432777,-0.289998,-0.151245
18.2017,-1.05199,10.2497,0.434017,-0.289932,-0.151237
18.1794,-0.997082,10.2105,0.4314,-0.289847,-0.151525
18.1782,-1.01018,10.1956,0.432564,-0.291095,-0.151549
18.1733,-1.02754,10.1505,0.433014,-0.290637,-0.151327
18.1506,-1.00189,10.1807,0.430719,-0.290886,-0.151145
18.162,-1.01782,10.1581,0.432049,-0.292155,-0.151322
18.1557,-1.06012,10.1202,0.433961,-0.291407,-0.151614
18.1213,-1.00579,10.1201,0.430703,-0.292563,-0.151199
18.1194,-1.06337,10.1133,0.432653,-0.293492,-0.151211
18.1396,-1.06105,10.1054,0.433532,-0.294,-0.151505
18.1708,-0.998986,10.1195,0.431597,-0.29165,-0.1515
18.1489,-1.04861,10.1201,0.43257,-0.29247,-0.151486
18.1395,-1.00814,10.1052,0.43329,-0.293311,-0.151367
18.0884,-1.01834,10.0899,0.430152,-0.293163,-0.151208
18.1446,-1.00607,10.1128,0.432429,-0.293112,-0.15123
18.1735,-1.02705,10.1206,0.432576,-0.290891,-0.150967
18.1651,-1.04098,10.1278,0.43286,-0.291281,-0.15135
18.1513,-1.05773,10.1122,0.434214,-0.291234,-0.151881
18.1803,-1.05278,10.1207,0.434016,-0.290189,-0.151098
18.1763,-1.04892,10.1128,0.434067,-0.291163,-0.151375
18.1547,-1.04536,10.1291,0.434365,-0.291545,-0.150812
18.1074,-1.04523,10.0982,0.432006,-0.293876,-0.151088
18.1277,-1.03094,10.128,0.432593,-0.292368,-0.151325
18.139,-1.05749,10.1439,0.433802,-0.293111,-0.151191
18.1367,-1.04622,10.159,0.431962,-0.292192,-0.150903
18.1826,-1.02131,10.1502,0.432417,-0.291893,-0.151479
18.1632,-1.06022,10.1585,0.434837,-0.291757,-0.151581
18.1612,-1.06684,10.1587,0.43278,-0.292083,-0.151188
18.1541,-1.03743,10.2035,0.43183,-0.292029,-0.151528
18.1757,-1.06362,10.2039,0.435006,-0.291521,-0.151672
18.1766,-1.03666,10.2579,0.433578,-0.289777,-0.150808
18.1827,-1.05102,10.2189,0.43251,-0.29185,-0.151404
18.201,-1.05442,10.2801,0.434432,-0.288148,-0.151188
18.2193,-1.04868,10.2872,0.433377,-0.289251,-0.151339
18.2174,-1.04533,10.3184,0.434746,-0.288231,-0.151029
18.2275,-1.07108,10.302,0.433535,-0.28729,-0.151579
18.2528,-1.06272,10.3324,0.433386,-0.286966,-0.151434
18.2318,-1.049,10.279,0.433352,-0.287372,-0.151609
18.2142,-1.06639,10.3102,0.434274,-0.288792,-0.151437
18.1982,-1.02515,10.295,0.433472,-0.289921,-0.151316
18.1644,-1.04036,10.2887,0.433557,-0.292415,-0.150785
18.1364,-1.02194,10.2958,0.432498,-0.292603,-0.151018
18.1741,-1.00282,10.3106,0.432458,-0.29143,-0.151026
18.1868,-1.01878,10.3023,0.432243,-0.288767,-0.15129
18.2493,-1.03448,10.2863,0.432845,-0.287722,-0.151619
18.2458,-1.03346,10.2786,0.431979,-0.286405,-0.151483
18.232,-1.03823,10.3096,0.433268,-0.288274,-0.15145
18.2099,-1.0598,10.2878,0.433915,-0.287987,-0.151056
18.1855,-1.0265,10.3184,0.433478,-0.290527,-0.15102
18.1483,-1.04429,10.2649,0.433306,-0.292597,-0.151459
18.141,-1.01932,10.28,0.4323,-0.292787,-0.151305
18.1738,-1.01791,10.2872,0.432932,-0.29103,-0.151444
18.1868,-1.01282,10.2493,0.432088,-0.28941,-0.151089
18.1797,-1.01258,10.2485,0.431219,-0.289317,-0.15148
18.2289,-1.01068,10.2487,0.432055,-0.288393,-0.151252
18.2157,-1.04028,10.2256,0.433033,-0.289727,-0.151804
18.2042,-1.01792,10.2253,0.431997,-0.289611,-0.151793
18.1905,-1.02866,10.2189,0.432768,-0.290454,-0.151266
18.1811,-1.03907,10.2043,0.433313,-0.2897,-0.151003
18.1166,-1.00327,10.1815,0.431191,-0.292765,-0.150996
18.1287,-1.01484,10.1812,0.431916,-0.293662,-0.151278
18.1688,-1.02347,10.1579,0.433512,-0.291863,-0.151588
18.1704,-1.01035,10.1427,0.431684,-0.290488,-0.151201
18.1664,-1.03096,10.1359,0.431441,-0.291423,-0.150817
18.1522,-1.0567,10.1426,0.433571,-0.292127,-0.151856
18.1658,-1.02494,10.1195,0.432611,-0.292325,-0.151764
18.1605,-1.03847,10.1287,0.432898,-0.29123,-0.150817
18.1382,-1.06758,10.1286,0.434559,-0.292842,-0.151336
18.1416,-1.02306,10.1119,0.431786,-0.293045,-0.151757
18.1406,-1.0224,10.0981,0.432236,-0.293546,-0.150983
18.1438,-1.04615,10.12,0.433486,-0.292422,-0.151744
18.167,-1.00071,10.1275,0.431143,-0.292105,-0.151228
18.1787,-1.02701,10.1503,0.431691,-0.289167,-0.15119
18.1931,-1.04614,10.1505,0.434083,-0.290098,-0.151472
18.1995,-1.01052,10.196,0.43187,-0.289438,-0.151028
18.1887,-1.05412,10.1663,0.433995,-0.289524,-0.15105
18.1589,-1.08693,10.197,0.434967,-0.291921,-0.151404
18.174,-1.02497,10.1582,0.432607,-0.292675,-0.151336
18.1522,-1.03292,10.1579,0.43342,-0.29165,-0.151703
18.1498,-1.09052,10.1822,0.435596,-0.292702,-0.151286
18.1426,-1.01493,10.2114,0.430578,-0.292037,-0.151114
18.1571,-1.04077,10.1882,0.432883,-0.291437,-0.151674
18.1997,-1.07338,10.2655,0.435524,-0.288625,-0.151074
18.208,-1.02849,10.2105,0.43186,-0.287104,-0.151397
18.1931,-1.06176,10.2121,0.433905,-0.289563,-0.151004
18.1788,-1.07637,10.2126,0.435731,-0.291292,-0.151135
18.1861,-1.03152,10.2188,0.432959,-0.29002,-0.151391
18.1282,-1.03637,10.1815,0.432095,-0.292106,-0.151133
18.1378,-1.05838,10.2127,0.434905,-0.292723,-0.15111
18.1371,-1.0124,10.1579,0.431708,-0.291863,-0.151429
18.1894,-1.02431,10.2195,0.433483,-0.290074,-0.150997
18.2148,-1.04681,10.2177,0.433832,-0.288447,-0.152064
18.2157,-1.04255,10.2037,0.432341,-0.287815,-0.151021
18.2002,-1.07648,10.1666,0.435031,-0.28964,-0.15106
18.1509,-1.07695,10.1666,0.434433,-0.291709,-0.151297
18.1283,-1.07343,10.1054,0.432297,-0.293455,-0.151361
18.1131,-1.07973,10.1366,0.43467,-0.294174,-0.151316
18.0938,-1.06935,10.0837,0.433054,-0.29572,-0.150974
18.1092,-0.972828,10.1431,0.430242,-0.29322,-0.151035
18.1731,-1.04593,10.1662,0.433237,-0.291626,-0.151186
18.1941,-1.03255,10.1964,0.432932,-0.289354,-0.151021
18.2058,-0.994762,10.195,0.430068,-0.288376,-0.151292
18.2354,-1.03572,10.2032,0.433717,-0.288074,-0.151436
18.2047,-1.06622,10.196,0.43493,-0.288312,-0.151549
18.2165,-1.02936,10.2028,0.43228,-0.290507,-0.151705
18.1561,-1.05528,10.2043,0.433593,-0.291664,-0.15126
18.085,-1.04768,10.1969,0.433562,-0.293744,-0.151485
18.0802,-1.0119,10.1742,0.430037,-0.294464,-0.150855
18.1373,-0.997308,10.2118,0.431459,-0.292388,-0.150978
18.1716,-0.985865,10.2264,0.430671,-0.290776,-0.150981
18.1997,-0.986976,10.2253,0.431936,-0.288841,-0.15165
18.1864,-1.01154,10.2419,0.432544,-0.290427,-0.151105
18.1902,-1.02531,10.3025,0.433041,-0.289567,-0.151298
18.208,-1.03203,10.2947,0.432053,-0.288492,-0.151184
18.2232,-1.03617,10.3099,0.433747,-0.289699,-0.151453
18.2189,-1.05275,10.3105,0.433773,-0.290004,-0.151187
18.2254,-1.01776,10.2868,0.43154,-0.288588,-0.151209
18.2302,-1.00161,10.3166,0.431071,-0.288029,-0.151441
18.2406,-1.02954,10.3096,0.43292,-0.287625,-0.151321
18.1939,-0.995429,10.3169,0.429877,-0.289875,-0.151292
18.1831,-1.00091,10.3405,0.431811,-0.289376,-0.151118
18.2234,-1.05156,10.3252,0.433562,-0.28917,-0.151433
18.1951,-1.01405,10.3325,0.432514,-0.289,-0.151398
